State,latitude,longitude,County,Total
Alabama,32.53952745,-86.64408227,"Autauga, Alabama, US",1715
Alabama,30.72774991,-87.72207058,"Baldwin, Alabama, US",5141
Alabama,31.868263,-85.3871286,"Barbour, Alabama, US",851
Alabama,32.99642064,-87.1251146,"Bibb, Alabama, US",638
Alabama,33.98210918,-86.56790593,"Blount, Alabama, US",1580
Alabama,32.10030533,-85.71265535,"Bullock, Alabama, US",597
Alabama,31.75300095,-86.68057478,"Butler, Alabama, US",911
Alabama,33.77483727,-85.82630386,"Calhoun, Alabama, US",3401
Alabama,32.91360079,-85.39072749,"Chambers, Alabama, US",1144
Alabama,34.17805983,-85.60638968,"Cherokee, Alabama, US",583
Alabama,32.85044126,-86.7173256,"Chilton, Alabama, US",1524
Alabama,32.02227341,-88.2656443,"Choctaw, Alabama, US",344
Alabama,31.68099859,-87.83548597,"Clarke, Alabama, US",1070
Alabama,33.26984193,-85.85836077,"Clay, Alabama, US",554
Alabama,33.67679204,-85.52005899,"Cleburne, Alabama, US",335
Alabama,31.39932826,-85.98901039,"Coffee, Alabama, US",1298
Alabama,34.69847452,-87.80168544,"Colbert, Alabama, US",1629
Alabama,31.43401703,-86.99320044,"Conecuh, Alabama, US",530
Alabama,32.93690146,-86.24847739,"Coosa, Alabama, US",167
Alabama,31.2477854,-86.45050893,"Covington, Alabama, US",1334
Alabama,31.72941803,-86.31593104,"Crenshaw, Alabama, US",527
Alabama,34.13020303,-86.86888037,"Cullman, Alabama, US",1868
Alabama,31.43037123,-85.61095742,"Dale, Alabama, US",1346
Alabama,32.32688101,-87.1086671,"Dallas, Alabama, US",1759
Alabama,34.45946862,-85.80782906,"DeKalb, Alabama, US",2375
Alabama,32.59785413,-86.14415284,"Elmore, Alabama, US",2596
Alabama,31.1256789,-87.15918694,"Escambia, Alabama, US",1577
Alabama,34.04567266,-86.04051873,"Etowah, Alabama, US",3402
Alabama,33.72076938,-87.73886638,"Fayette, Alabama, US",435
Alabama,34.44235334,-87.84289505,"Franklin, Alabama, US",1752
Alabama,31.09389027,-85.83572839,"Geneva, Alabama, US",586
Alabama,32.85504247,-87.95684022,"Greene, Alabama, US",303
Alabama,32.76039258,-87.63284988,"Hale, Alabama, US",619
Alabama,31.51148016,-85.24267944,"Henry, Alabama, US",483
Alabama,31.15197924,-85.29939599,"Houston, Alabama, US",2764
Alabama,34.78144169,-85.99750489,"Jackson, Alabama, US",1540
Alabama,33.55554728,-86.895063,"Jefferson, Alabama, US",19306
Alabama,33.77995024,-88.09668032,"Lamar, Alabama, US",357
Alabama,34.90171875,-87.65624729,"Lauderdale, Alabama, US",1673
Alabama,34.52041498,-87.31069453,"Lawrence, Alabama, US",605
Alabama,32.60154883,-85.35132246,"Lee, Alabama, US",5792
Alabama,34.81185586,-86.98310072,"Limestone, Alabama, US",2033
Alabama,32.1597283,-86.65158371,"Lowndes, Alabama, US",652
Alabama,32.38759944,-85.69267724,"Macon, Alabama, US",479
Alabama,34.76327133,-86.55069633,"Madison, Alabama, US",7709
Alabama,32.24767634,-87.78796182,"Marengo, Alabama, US",705
Alabama,34.13697363,-87.88704173,"Marion, Alabama, US",954
Alabama,34.36975964,-86.30486727,"Marshall, Alabama, US",3892
Alabama,30.78472347,-88.20842409,"Mobile, Alabama, US",13233
Alabama,31.56729412,-87.36995001,"Monroe, Alabama, US",580
Alabama,32.2206831,-86.20969272,"Montgomery, Alabama, US",8748
Alabama,34.45500589,-86.85475946,"Morgan, Alabama, US",3239
Alabama,32.64048341,-87.29770589,"Out of AL, Alabama, US",539
Alabama,33.28094866,-88.08818103,"Perry, Alabama, US",645
Alabama,31.80396383,-85.9408295,"Pickens, Alabama, US",1179
Alabama,33.29526734,-85.45708831,"Pike, Alabama, US",627
Alabama,32.28725256,-85.18415324,"Randolph, Alabama, US",1732
Alabama,33.26879845,-86.66232561,"Russell, Alabama, US",5787
Alabama,33.71902176,-86.31029372,"Shelby, Alabama, US",2263
Alabama,32.59117397,-88.19916205,"St. Clair, Alabama, US",432
Alabama,33.37823223,-86.16886178,"Sumter, Alabama, US",2106
Alabama,32.86698258,-85.79833053,"Talladega, Alabama, US",1138
Alabama,33.28726072,-87.52556818,"Tallapoosa, Alabama, US",7418
Alabama,33.80270512,-87.30027177,"Tuscaloosa, Alabama, US",2253
Alabama,31.4092794,-88.20689944,"Unassigned, Alabama, US",551
Alabama,31.98773215,-87.30891118,"Walker, Alabama, US",530
Alabama,34.15030532,-87.37325922,"Washington, Alabama, US",718
Alaska,55.32222414,-161.9722021,"Wilcox, Alabama, US",2
Alaska,52.3233,-174.1596,"Winston, Alabama, US",8
Alaska,61.14998174,-149.1426986,"Aleutians East, Alaska, US",3926
Alaska,60.90980451,-159.8561831,"Aleutians West, Alaska, US",96
Alaska,58.74513976,-156.701064,"Anchorage,Alaska,US",10
Alaska,63.67264044,-150.0076108,"Bethel, Alaska, US",2
Alaska,59.79603738,-158.2381942,"Bristol Bay, Alaska, US",8
Alaska,64.80726247,-146.5692662,"Denali, Alaska, US",1001
Alaska,59.09893571,-135.4679843,"Dillingham, Alaska, US",5
Alaska,58.29307365,-135.6424424,"Fairbanks North Star,Alaska,US",0
Alaska,58.45031811,-134.200436,"Haines, Alaska, US",273
Alaska,60.24429722,-151.5388884,"Hoonah-Angoon, Alaska, US",440
Alaska,55.57445008,-130.975561,"Juneau, Alaska, US",49
Alaska,57.65529415,-153.7493579,"Kenai Peninsula,Alaska,US",21
Alaska,62.1542916,-163.3967883,"Ketchikan Gateway, Alaska, US",12
Alaska,58.62403337,-156.2140589,"Kodiak Island, Alaska, US",0
Alaska,62.31305045,-149.5741743,"Kusilvak, Alaska, US",587
Alaska,64.90320724,-164.0353804,"Lake and Peninsula, Alaska, US",57
Alaska,69.31479216,-153.4836093,"Matanuska-Susitna,Alaska,US",96
Alaska,67.04919196,-159.7503946,"Nome, Alaska, US",98
Alaska,57.13978948,-132.9540995,"North Slope, Alaska, US",7
Alaska,55.76261984,-133.0511621,"Northwest Arctic, Alaska, US",30
Alaska,57.24124555,-135.3206587,"Out of AK, Alaska, US",44
Alaska,59.56149996,-135.3337748,"Petersburg, Alaska, US",0
Alaska,63.87692095,-143.2127643,"Prince of Wales-Hyder, Alaska, US",24
